epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1205.49,1.11606,3.19489,1.18548,0.53306,0.36895,0.40771,0.26066,1.68878,4.71658,1.21095,0.000827187,0.000827187,0.000827187
43,1233.93,1.11751,3.23345,1.18666,0.53348,0.3667,0.39838,0.24634,1.80133,5.20743,1.2602,0.000816875,0.000816875,0.000816875
44,1262.56,1.11913,3.20055,1.18841,0.50311,0.4201,0.42565,0.27356,1.63719,4.55825,1.21303,0.000806562,0.000806562,0.000806562
45,1290.99,1.14238,3.25212,1.19534,0.46365,0.39897,0.4164,0.26787,1.73478,4.9687,1.22877,0.00079625,0.00079625,0.00079625
46,1319.72,1.14023,3.26207,1.19604,0.43831,0.34474,0.34635,0.2263,1.68075,5.46545,1.22927,0.000785938,0.000785938,0.000785938
47,1348.46,1.12125,3.2244,1.18805,0.5019,0.42953,0.43418,0.27691,1.63193,4.39322,1.17033,0.000775625,0.000775625,0.000775625
48,1377.35,1.13188,3.21769,1.19207,0.47628,0.44405,0.4232,0.27555,1.62958,4.3649,1.19748,0.000765313,0.000765313,0.000765313
49,1405.98,1.13013,3.22297,1.1915,0.48513,0.41709,0.42858,0.28171,1.63202,4.6743,1.17935,0.000755,0.000755,0.000755
50,1434.87,1.10183,3.14652,1.17618,0.47233,0.41943,0.43024,0.28097,1.62844,4.34454,1.19493,0.000744688,0.000744688,0.000744688
51,1463.67,1.12489,3.16229,1.1808,0.53232,0.41482,0.44018,0.29281,1.61195,4.17195,1.18459,0.000734375,0.000734375,0.000734375
52,1492.6,1.08089,3.07355,1.17304,0.5599,0.38106,0.43597,0.29524,1.57381,4.22264,1.15679,0.000724062,0.000724062,0.000724062
53,1521.37,1.12668,3.15673,1.18353,0.597,0.39991,0.45824,0.29817,1.56993,4.14493,1.1554,0.00071375,0.00071375,0.00071375
54,1550.25,1.10662,3.07947,1.17858,0.45183,0.41466,0.41457,0.27702,1.59612,4.33474,1.1668,0.000703437,0.000703437,0.000703437
55,1578.93,1.11984,3.09915,1.18163,0.46777,0.42819,0.43231,0.27684,1.6255,4.45575,1.1904,0.000693125,0.000693125,0.000693125
56,1607.61,1.12625,3.16153,1.18197,0.48414,0.44507,0.43014,0.28405,1.57027,4.54625,1.1525,0.000682813,0.000682813,0.000682813
57,1636.76,1.10166,3.10085,1.18062,0.48943,0.44706,0.44359,0.29089,1.5958,4.29928,1.18948,0.0006725,0.0006725,0.0006725
58,1665.59,1.08952,3.06758,1.17122,0.59297,0.37746,0.42798,0.28258,1.58304,4.43906,1.16521,0.000662188,0.000662188,0.000662188
59,1694.44,1.09054,3.05089,1.17361,0.59915,0.38922,0.4539,0.29484,1.57934,4.04691,1.16911,0.000651875,0.000651875,0.000651875
60,1723.45,1.07451,3.01322,1.16153,0.52098,0.40804,0.43366,0.28398,1.60202,4.36384,1.17584,0.000641562,0.000641562,0.000641562
61,1752.23,1.08538,3.02783,1.1684,0.52186,0.45174,0.45971,0.30872,1.5565,4.05037,1.16052,0.00063125,0.00063125,0.00063125
62,1781.18,1.09304,3.02439,1.17319,0.52445,0.45948,0.46735,0.31763,1.51461,3.98187,1.13965,0.000620938,0.000620938,0.000620938
63,1810.11,1.08766,3.00288,1.17074,0.5932,0.42169,0.45974,0.30832,1.55912,4.01332,1.16369,0.000610625,0.000610625,0.000610625
64,1838.93,1.09551,3.04321,1.17428,0.58875,0.3865,0.45411,0.29867,1.5974,4.01971,1.17813,0.000600313,0.000600313,0.000600313
65,1867.76,1.03884,2.86507,1.15047,0.53587,0.41936,0.44191,0.28661,1.61897,4.31651,1.17911,0.00059,0.00059,0.00059
66,1896.7,1.08031,2.95675,1.16889,0.54662,0.41583,0.41816,0.25278,1.68051,4.86861,1.22499,0.000579688,0.000579688,0.000579688
67,1925.61,1.05596,2.99342,1.16241,0.55093,0.45568,0.45908,0.30788,1.51849,3.93574,1.14161,0.000569375,0.000569375,0.000569375
68,1954.48,1.06602,2.93942,1.15927,0.53865,0.4237,0.45329,0.30609,1.49611,4.01276,1.13904,0.000559062,0.000559062,0.000559062
69,1983.45,1.06402,2.90413,1.16176,0.55488,0.42986,0.45249,0.30078,1.53898,4.08623,1.13247,0.00054875,0.00054875,0.00054875
70,2012.37,1.0971,2.99112,1.16185,0.62137,0.43401,0.48602,0.32378,1.51733,3.90717,1.13431,0.000538438,0.000538438,0.000538438
71,2041.24,1.07566,2.94823,1.16571,0.52365,0.43402,0.45991,0.30723,1.53294,4.04726,1.15382,0.000528125,0.000528125,0.000528125
72,2071.13,1.08082,2.99416,1.17019,0.52264,0.46409,0.45919,0.30638,1.53782,4.08717,1.16159,0.000517813,0.000517813,0.000517813
73,2100.04,1.06648,2.92507,1.15934,0.53205,0.45833,0.46506,0.30816,1.55511,4.17012,1.15665,0.0005075,0.0005075,0.0005075
74,2128.94,1.08206,2.96434,1.16774,0.54661,0.43638,0.46046,0.31107,1.54699,4.10174,1.15623,0.000497188,0.000497188,0.000497188
75,2157.81,1.04049,2.95554,1.15158,0.61886,0.4132,0.46247,0.30505,1.57763,4.3461,1.17579,0.000486875,0.000486875,0.000486875
76,2186.77,1.05797,2.92503,1.16187,0.47595,0.44117,0.43545,0.29297,1.55668,4.14029,1.15131,0.000476562,0.000476562,0.000476562
